Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
VD AluSysteme,vd-alusysteme.de,Accessible Architecture and Design,"Assamstadt, Germany",51-200,https://www.linkedin.com/company/vd-alusysteme,"VD AluSysteme® is a home improvement company that offers a variety of top-quality outdoor living solutions including canopy systems, carports, terrace covers, and sun protection systems from renowned brands.",public company,""
Green Theory Design,greentheorydesign.com,Accessible Architecture and Design,"Port Coquitlam, Canada",11-50,https://www.linkedin.com/company/green-theory-design,"Green Theory Design is a landscape design company that offers innovative metal planters and accessories, redefining commercial spaces into experiences.",privately held,""
JAG Studio,jagstudio.ec,Accessible Architecture and Design,"Guayaquil, Ecuador",1-10,https://www.linkedin.com/company/jag-studio,"JAG Studio is a photography studio that specializes in documenting and communicating architecture, design, and contemporary purposes.",self employed,""
Bamboo U,bamboou.com,Accessible Architecture and Design,Indonesia,11-50,https://www.linkedin.com/company/bamboou,"Bamboo U is a company specializing in bamboo architecture and design, offering online courses based on 13+ years of expertise in collaboration with IBUKU.",educational,""
Cristofari,cristofari.eu,Accessible Architecture and Design,"Rome, Italy",51-200,https://www.linkedin.com/company/cristofaridesign,"CRISTOFARI CERAMICHE SRL is a company operating in the architecture and interior design industry, offering a range of construction materials and consulting services with a focus on conscious design.",privately held,""
Bikini Houses,bikinihouses.com,Accessible Architecture and Design,"San José del Cabo, Mexico",1-10,https://www.linkedin.com/company/bikini-houses,,privately held,""
Concevez et réalisez votre intérieur idéal !,flinterieur.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/https-www-linkedin-com-in-fluypaert,,self employed,""
Nolmo,nolmo.pl,Accessible Architecture and Design,,51-200,https://www.linkedin.com/company/nolmo-polska,Nolmo is a recreational areas design company that offers creative and inspirational solutions to enhance spaces.,public company,""
UAX,uax.cz,Accessible Architecture and Design,Czechia,11-50,https://www.linkedin.com/company/uaxdesign,"UAX is a graphic design and clothing manufacturing company that specializes in visual identity creation for businesses and municipalities, alongside offering interior design and architecture services.",privately held,""
STORE STORE Projects,storeprojects.org,Accessible Architecture and Design,"London, United Kingdom",1-10,https://www.linkedin.com/company/store-storeprojects,STORE Rotterdam is a non-profit organization focusing on creating a more inclusive architectural and design education through workshops and After School Clubs.,non profit,""
Cimento®,cimento.tech,Accessible Architecture and Design,"San Donà di Piave, Italy",51-200,https://www.linkedin.com/company/cimento-italy,"Cimento® Technology is a construction materials company that offers an exclusive patented material combining over 90% mineral aggregates with a cement binder, known for its extreme lightness and ease of installation.",privately held,""
TDOC,tdoc.in,Accessible Architecture and Design,"Panaji, India",11-50,https://www.linkedin.com/company/tdoc-the-design-online-company,"Welcome to TDOC, where we redefine the design experience with our exclusive and innovative solutions tailored to meet your project needs. Our mission is simple: to add convenience to your design journey. At TDOC, we understand the importance of seamless project management and material selection. That's why we encourage arm-chair convenience, allowing you to oversee your project's progress and make material selections—all under one roof.",partnership,""
Capital Proiect,capitalproiect.com,Accessible Architecture and Design,"Chisinau, Moldova",1-10,https://www.linkedin.com/company/capital-proiect,"jeetcity code promo nine casino bigcasinò wazamba connexion melhores slots apostasnopix kings chance 1xbet namiqsein porn le slicks buy weed online лото ме pornito xxx In a nutshell, niche edits are hyperlinks or anchor text inserted into an article, already published a while back on a website or blog. The difference between niche edits and",privately held,""
Werkbundakademie Darmstadt,wba-darmstadt.de,Accessible Architecture and Design,"Darmstadt, Germany",1-10,https://www.linkedin.com/company/werkbundakademie-darmstadt,"Werkbundakademie Darmstadt is a design and architecture academy that focuses on art, education, and promoting the principles of the German Werkbund.",non profit,""
BIENSUR Atelier,biensuratelier.com,Accessible Architecture and Design,"Sanguinet, France",1-10,https://www.linkedin.com/company/biensur-architecture,BIENSUR Atelier is a architectural design studio that offers a range of creative services by Sylvain Juster.,privately held,""
DabneyCollins,dabneycollins.com,Accessible Architecture and Design,"Pendleton, South Carolina, United States",51-200,https://www.linkedin.com/company/dabneycollins,,self owned,""
Octant Design,octantdesign.com,Accessible Architecture and Design,"La Rochelle, France",11-50,https://www.linkedin.com/company/octantdesign,"Octant Design is an interior design company that offers furniture, lighting, and decorations for interiors through its integrated interior architecture design studio and showroom.",self owned,""
Humade,humade.nl,Accessible Architecture and Design,"Amsterdam, Netherlands",1-10,https://www.linkedin.com/company/humade.nl,"Humade is a Design Studio that develops sustainable products with a circular impact, inspired by old crafts and traditions.",partnership,""
Rina Lovko Design Studio,rinalovko.com,Accessible Architecture and Design,"Kyiv, Ukraine",1-10,https://www.linkedin.com/company/rina-lovko-design-studio,,privately held,""
Arkitektgruppen i Malmö,arkitektgruppen.nu,Accessible Architecture and Design,"Malmö, Sweden",11-50,https://www.linkedin.com/company/arkitektgruppen,Arkitektgruppen is an architecture firm that specializes in building and interior design projects of various scales.,public company,""
Signatuur Architecten,signatuurarchitecten.be,Accessible Architecture and Design,"Westerlo, Belgium",1-10,https://www.linkedin.com/company/signatuurarchitecten,"Signatuur Architecten is an architecture firm that focuses on creating seamless integration between exterior, interior, and space design for total projects.",privately held,""
WE-ON,we-on.com,Accessible Architecture and Design,Russian Federation,201-500,https://www.linkedin.com/company/we-on-group,"WE-ON is a design company that specializes in general design for residential and industrial facilities, catering to large developers and international industrial holdings.",privately held,""
TID FACADE JSC,tidfacade.com.vn,Accessible Architecture and Design,,501-1000,https://www.linkedin.com/company/tid-facade-jsc,,privately held,""
S-o-a.cz,s-o-a.cz,Accessible Architecture and Design,"Prague, Czechia",11-50,https://www.linkedin.com/company/soa-architekti,,public company,""
MR art design,mrartdesign.it,Accessible Architecture and Design,"Ripatransone, Italy",1-10,https://www.linkedin.com/company/mr-art-design,"MR art design is an interior design company that specializes in colorful glass and crystal doors and furniture, reflecting contemporary living styles.",self owned,""
ReRender AI,rerenderai.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/rerender,"The best architectural rendering service that dramatically shortens ideation time. Generate stunning visuals in seconds and elevate Revit, SketchUp & Blender projects with AI - perfect for client presentations & rapid design iterations!",privately held,""
OBJETO,somosobjeto.com,Accessible Architecture and Design,"Getxo, Spain",1-10,https://www.linkedin.com/company/somosobjeto,,self owned,""
VAN GOGH Art Gallery,vangoghartgallery.es,Accessible Architecture and Design,"Madrid, Spain",1-10,https://www.linkedin.com/company/ilovethis,,non profit,""
Plateforme Sociadesign,plateforme-socialdesign.net,Accessible Architecture and Design,"Paris, France",1-10,https://www.linkedin.com/company/plateforme-sociadesign,Plateforme Sociadesign is a platform in the design industry that promotes and integrates practices of cultural innovation creators in an interdisciplinary network.,self employed,""
Oostz Architecten,oostzarchitecten.nl,Accessible Architecture and Design,Netherlands,1-10,https://www.linkedin.com/company/oostz-ontwerp,,privately held,""
ZIGO-SIGNAGE,zg-sign.com,Accessible Architecture and Design,"Shenzhen, China",51-200,https://www.linkedin.com/company/shenzhenzhigao,,self owned,""
FatAtelier,fatatelier.com,Accessible Architecture and Design,"United States, New Jersey",1-10,https://www.linkedin.com/company/fatatelier,"FatAtelier offers expert architectural design and precision millwork services in Newark, NJ. Transform your space with our innovative design and craftsmanship. Contact us for custom solutions!",self owned,""
Kremer Bouw en Verbouw,kremerbouwenverbouw.nl,Accessible Architecture and Design,"Oosterbeek, Netherlands",1-10,https://www.linkedin.com/company/kremerbouwenverbouw,,self owned,""
GRS architecture,grsa.ca,Accessible Architecture and Design,"Westmount, Canada",1-10,https://www.linkedin.com/company/grs-architecture,"GRS Architecture is an architecture firm that offers a complete range of design and construction services for various building typologies, including retail, homes, institutions, airport facilities, commercial offices, and industrial projects.",self owned,""
Max-Ability,max-ability.com,Accessible Architecture and Design,"30 Westgate Parkway, 28806, Asheville, North Carolina, United States",1-10,https://www.linkedin.com/company/max-ability-inc,"MAX-Ability is a company that offers accessibility devices, including ergonomic changing tables and a comprehensive bathroom system, designed to provide comfort, safety, and dignity to wheelchair users and caregivers.",privately held,""
Nordic Design Architects,nordicda.com,Accessible Architecture and Design,"Marbella, Spain",11-50,https://www.linkedin.com/company/nordicgroupspain,"Nordic Design Architects is an architecture and design firm that offers comprehensive solutions in architecture, design, construction, and custom kitchen and carpentry services.",self owned,""
Roversi Scale,roversiscale.it,Accessible Architecture and Design,"Montirone, Italy",1-10,https://www.linkedin.com/company/roversi-custom-made,Roversi scale is a construction company that specializes in building projects and civil engineering.,partnership,""
Eta Kış Bahçesi,etakisbahcesi.com,Accessible Architecture and Design,"Istanbul, Türkiye",51-200,https://www.linkedin.com/company/eta-kis-bahcesi,,privately held,""
361 Degré,361degre.com,Accessible Architecture and Design,France,1-10,https://www.linkedin.com/company/361-degre,361 degré is an interior design company that specializes in creating unique and inspiring spaces through passion for design and decoration.,privately held,""
New Earth Solutions,newearthsolutions.com,Accessible Architecture and Design,"Guelph, Canada",1-10,https://www.linkedin.com/company/new-earth-solutions,"Designing, installing, and maintaining green infrastructure. Each project enhances your building performance with data-driven results.",privately held,""
CED,ced.space,Accessible Architecture and Design,"Cape Town, South Africa",11-50,https://www.linkedin.com/company/cuttingedgedesignza,"With over a decade of collective experience in the turnkey process, we offer a comprehensive suite of services that allow us to create world-class spaces from scratch.",privately held,""
Ark,arkdesign.ai,Accessible Architecture and Design,"New York City, New York, United States",1-10,https://www.linkedin.com/company/architecture-at-once,AI-Powered Design & Feasibility Studies for Multi-Family & Mixed-Use Projects. A tool for architects and real estate developers.,self employed,""
Núcleo Catarinense de Decoração,ncd.com.br,Accessible Architecture and Design,"São José, Brazil",11-50,https://www.linkedin.com/company/n%c3%bacleo-catarinense-de-decora%c3%a7%c3%a3o,"Núcleo Catarinense De Decoração is an association of 174 architecture and decoration shops operating in Santa Catarina for 24 years, strengthening the sector by providing content and fostering connections.",partnership,""
Visual Display     Brand+Interior Design,visualdisplay.it,Accessible Architecture and Design,"Udine, Italy",1-10,https://www.linkedin.com/company/visual-display-srl,Visual Display Brand+Interior Design is a company that specializes in creating visual displays and interior designs.,privately held,""
Bode Architecten,bode-architecten.be,Accessible Architecture and Design,"Petegem-aan-de-Leie, Belgium",1-10,https://www.linkedin.com/company/bode-architecten-bv,"Bode Architecten is an architectural firm that provides personalized architectural design solutions focusing on light, space, and user experience.",privately held,""
Propmasters Miami,propmastersmiami.com,Accessible Architecture and Design,"Hialeah Gardens, Florida, United States",11-50,https://www.linkedin.com/company/propmastersmiami,Propmasters Miami is a production services company that brings clients' creative visions to life on time and within budget.,privately held,""
Lokalkontoret,lokalkontoret.no,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/lokalkontoret-as,Lokalkontoret is a Community Development organization that offers a wide range of services and expertise to support rural communities in transitioning towards a more sustainable future.,public company,""
Capture Immersive,capture-immersive.ch,Accessible Architecture and Design,"Vouvry, Switzerland",1-10,https://www.linkedin.com/company/captureimmersive,,privately held,""
Lovisa of Sweden AB,lovisaofsweden.se,Accessible Architecture and Design,"Gävle, Sweden",1-10,https://www.linkedin.com/company/lovisa-of-sweden-ab,UTOMHUSKONTOR is a provider of outdoor offices and meeting rooms designed to allow for comfortable work and presentations even in bright sunlight.,privately held,""
DrissenDesign,drissendesign.nl,Accessible Architecture and Design,"Baarlo, Netherlands",1-10,https://www.linkedin.com/company/drissendesign,,self owned,""
TheoDoors,theodoors.nl,Accessible Architecture and Design,"Veghel, Netherlands",1-10,https://www.linkedin.com/company/theodoors,TheoDoors is a metals company that specializes in metal fabrication and manufacturing.,self owned,""
Emprendimiento social,emprendimientosocial.es,Accessible Architecture and Design,United States,1-10,https://www.linkedin.com/company/aa-emprendimiento-social,,self employed,""
Ontwerppoel,ontwerppoel.be,Accessible Architecture and Design,"Gent, Belgium",11-50,https://www.linkedin.com/company/ontwerppoel,,partnership,""
GrupoSantamaría,gruposantamaria.cr,Accessible Architecture and Design,,51-200,https://www.linkedin.com/company/gruposantamariaa,"Grupo Santa María is a retailer that offers a wide range of furniture, decoratives, and sports equipment with personalized advice to enhance results.",self employed,""
Affordable Renders,affordablerenders.com,Accessible Architecture and Design,"0000000000 0000000000 info@affordablerenders.com 131 Longfellow st, 07008, Carteret, New Jersey, United States",1-10,https://www.linkedin.com/company/affordable-renders,"Affordable Renders is a design company that specializes in 3D rendering and architectural visualizations, providing fast delivery of customized scenes.",partnership,""
Concept 72,concept72.ca,Accessible Architecture and Design,"Sainte-Anne-de-Bellevue, Canada",11-50,https://www.linkedin.com/company/concept-72,Concept72 is a custom outdoor lighting and sound systems company that specializes in enhancing outdoor spaces with innovative designs and quality installations.,self owned,""
WikiHouseNL,wikihousenl.cc,Accessible Architecture and Design,"Leiden, Netherlands",1-10,https://www.linkedin.com/company/wikihousenl,,non profit,""
GALO - Fittings and Faucets -,herrajesgalo.com.ar,Accessible Architecture and Design,"Buenos Aires, Argentina",11-50,https://www.linkedin.com/company/galo-herrajes-exclusivos,"Galo is a Bronze Atelier that specializes in the design and production of iron fittings, light fixtures, faucets, and bronze furniture.",privately held,""
Access Austria,access-austria.at,Accessible Architecture and Design,"Vienna, Austria",1-10,https://www.linkedin.com/company/access-austria,,,""
Incluzia,incluzia.com,Accessible Architecture and Design,"Winnipeg, Canada",1-10,https://www.linkedin.com/company/incluzia,"Incluzia is a company that offers training, tools, and consultation in the areas of Accessible Housing, Digital Accessibility, and Public Accessibility.",privately held,""
Light Justice,lightjustice.org,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/light-justice,Light Justice is a community development organization that focuses on providing good lighting for neglected neighborhoods through stakeholder engagement and promoting public fluency in lighting science and social impact.,partnership,""
Styly,styly.io,Accessible Architecture and Design,"Paris, France",1-10,https://www.linkedin.com/company/stylyio,"Transform your home with Styly's free AI room design tools! Explore modern interior design Tools, AI room planner features, decorating ideas for living rooms, and small house interior design solutions.",self owned,""
Svensk Tillgänglighet,svensktillganglighet.se,Accessible Architecture and Design,"Stockholm, Sweden",1-10,https://www.linkedin.com/company/svensk-tillg%c3%a4nglighet-branschorganisation,"Svensk Tillgänglighet is an organization that focuses on increasing accessibility for individuals with disabilities, catering to accessibility consultants and professionals within the industry.",non profit,""
Mimokolektiv,mimokolektiv.cz,Accessible Architecture and Design,"Olomouc, Czechia",1-10,https://www.linkedin.com/company/mimokolektiv,"Mimokolektiv is a design company that specializes in architecture, interior design, landscape design, and product design with an ""out of the box"" approach.",privately held,""
Fundación DEPORTELIBRE,deportelibre.cl,Accessible Architecture and Design,Chile,11-50,https://www.linkedin.com/company/deportelibre,"Fundación Deportelibre is a sports infrastructure company that specializes in revitalizing urban public and private spaces with indoor and outdoor sports facilities, transforming them into urban sports parks to promote healthy living through sports.",non profit,""
PART,part.no,Accessible Architecture and Design,"Bergen, Norway",11-50,https://www.linkedin.com/company/partpartpart,"PART is a creative agency for architecture, design, and visualizations, offering a wide range of services to realize complex projects in various scales.",privately held,""
– pulse,pulse.archi,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/pulsearchdesign,Welcome to PULSE – a platform dedicated to fostering collaboration and innovation across the creative region of Central Europe. By connecting professionals in…,non profit,""
French Cliche,frenchcliche.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/french-cliche,"French Cliche is a design company that connects emerging artists with traditional know-hows, offering collectible design inspired by French Culture.",privately held,""
3span Bouwadviesbureau,3span.nl,Accessible Architecture and Design,Netherlands,1-10,https://www.linkedin.com/company/3span-bouwbureau-b.v.,"3span Bouwadviesbureau is a construction advisory firm that offers expert advice, design, and drawing services, specializing in childcare, recreation, and hospitality projects across the Netherlands.",self owned,""
International Post Mining Network,postminingacclimatization.com,Accessible Architecture and Design,"Oignies, France",1-10,https://www.linkedin.com/company/international-post-mining-network,,non profit,""
WMOarchitecten,wmoarchitect.nl,Accessible Architecture and Design,"Groningen, Netherlands",1-10,https://www.linkedin.com/company/laat-wonen,,self employed,""
Flexitecture — SAIF FAISAL design workshop,saif-faisal.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/studio-saiffaisal-designworkshop,,self owned,""
Oboros,oboros.nl,Accessible Architecture and Design,"Veenendaal, Netherlands",1-10,https://www.linkedin.com/company/oboros-nl,,privately held,""
UXMen,uxmen.be,Accessible Architecture and Design,"Kontich, Belgium",1-10,https://www.linkedin.com/company/uxmen,UXMen is a User Experience company that focuses on helping businesses digitally transform and evolve by building long-term partnerships through strategy and design.,public company,""
Madelen Möllard,madelenmollard.com,Accessible Architecture and Design,"Stockholm, Sweden",1-10,https://www.linkedin.com/company/studiomadelenmollard,,privately held,""
Lasttouchinteriors,lasttouchinteriors.com.tr,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/lasttouchinteriors,"Lasttouchinteriors is an interior design and event planning company that offers handcrafted products from their own workshops in various Far Eastern countries, alongside locally sourced and 100% Turkish-made products.",partnership,""
DOMUM urban mobility,domum-mobility.eu,Accessible Architecture and Design,"Berlin, Germany",1-10,https://www.linkedin.com/company/domum-urban-mobility,"Operating on the intersection between high-end design and engineering excellence, we present our stylish micro mobility parking solutions.",privately held,""
Tiflotehna,tiflotehna.hr,Accessible Architecture and Design,"Centar, Croatia",1-10,https://www.linkedin.com/company/tiflotehna-d-o-o-,Tiflotehna is a social enterprise that provides specialized economic activities and support services to visually impaired individuals in Croatia.,privately held,""
Visys.pro,visys.pro,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/visys-pro,Stefan Egger is a visual design applications developer that specializes in research and development of technology for software development.,self employed,""
LEMAA USACH,lemaausach.cl,Accessible Architecture and Design,"Santiago, Chile",1-10,https://www.linkedin.com/company/laboratorio-de-exploraci%c3%b3n-en-materiales-arquitect%c3%b3nicos-ambientales,,educational,""
Berkey Home Builders,berkeyhomebuilders.com,Accessible Architecture and Design,"Altoona, Iowa, United States",11-50,https://www.linkedin.com/company/berkeyhomebuilders,Berkey Home Builders is a construction company that specializes in building quality homes in the Central Iowa area.,public company,""
.mattomedia architekturvisualisierung,architekturvisualisierung.com,Accessible Architecture and Design,"Stuttgart, Germany",1-10,https://www.linkedin.com/company/mattomedia-architekturvisualisierung,,public company,""
SunSquare ITALIA,sunsquareitalia.it,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/sunsquare-italia,,partnership,""
Aarhuss,aarhuss.com,Accessible Architecture and Design,"Kuwait City, Kuwait",11-50,https://www.linkedin.com/company/aarhuss-global,AarHuss Interior Fit-Out is an interior design company that offers fit-out services and provides a wide range of building materials through a vibrant and dynamic design hub.,partnership,""
Topvis Cửa nhôm châuÂu,topvis.vn,Accessible Architecture and Design,"Hanoi, Vietnam",11-50,https://www.linkedin.com/company/topvis-c%e1%bb%ada-nh%c3%b4m-ch%c3%a2u%c3%a2u,,self employed,""
APD Engineering & Architecture,apd.com,Accessible Architecture and Design,"Victor, New York, United States",51-200,https://www.linkedin.com/company/apd-engineering-architecture,"APD Engineering 
& Architecture is a multidisciplinary engineering and design company specializing in civil, environmental, structural, and mechanical engineering solutions for various sectors including retail, restaurant, public infrastructure, facilities, recreation, education, and residential.",privately held,""
Arkitech,arkitech.com.pe,Accessible Architecture and Design,"Lima, Peru",11-50,https://www.linkedin.com/company/arkitechperu,"Arkitech is a company that specializes in a wide range of architectural services, focusing on Commercial Space Design (Retail) and Corporate, Temporal, and Protocolar Architecture.",privately held,""
VR-Architecture,vr-architecture.com,Accessible Architecture and Design,"Roubaix, France",1-10,https://www.linkedin.com/company/vr-architecture,"ARCHITECTURE is an architecture firm specializing in optimizing and modularizing living spaces for hotels, restaurants, bars, workspaces, and healthcare facilities.",privately held,""
Bodega Piedrafita,bodegapiedrafita.com,Accessible Architecture and Design,"Montevideo, Uruguay",11-50,https://www.linkedin.com/company/bodega-piedrafita,"Bodega Piedrafita is a winery that produces wines in Formentor, Montevideo, Uruguay.",privately held,""
H+K Architects,hkarchitects.com,Accessible Architecture and Design,"Reno, Nevada, United States",1-10,https://www.linkedin.com/company/h-k-architects,K Architects is an architecture firm that focuses on building strong relationships to deliver successful projects.,self owned,""
BY.OPEN,byopen.es,Accessible Architecture and Design,"Elche, Spain",11-50,https://www.linkedin.com/company/by-open,"BY.OPEN is a construction and real estate company that specializes in luxury housing, interior design, commercial buildings, wellness centers, and comprehensive renovations.",self owned,""
Kika Camasmie + Arq,kikacamasmie.com.br,Accessible Architecture and Design,"São Paulo, Brazil",1-10,https://www.linkedin.com/company/kika-camasmie,"Markka Servicos De Montagem De Moveis is a company in the interior design industry that specializes in furniture assembly for residential and commercial projects, with a focus on unique construction systems.",privately held,""
Suunnittelemo,suunnittelemo.fi,Accessible Architecture and Design,"Tampere, Finland",1-10,https://www.linkedin.com/company/suunnittelemo-oy,Suunnittelemo is a construction company that specializes in designing and executing new and renovation building projects with expertise in project management.,self employed,""
IGK Projekt,igk-projekt.hr,Accessible Architecture and Design,"Đakovo, Croatia",1-10,https://www.linkedin.com/company/igk-projekt,"IGK Projekt is a construction and engineering firm that specializes in project design and supervision, as well as energy certification and legalization services.",privately held,""
Access Elevators and Lifts,accesselevatorinc.com,Accessible Architecture and Design,"Omaha, Nebraska, United States",11-50,https://www.linkedin.com/company/access-elevators-and-lifts,"Access Elevators and Lifts is a company that specializes in residential elevator and lift installation, providing tailored accessibility solutions.",privately held,""
ROtation Indretning,rotationindretning.dk,Accessible Architecture and Design,"Copenhagen, Denmark",1-10,https://www.linkedin.com/company/rotation-indretning,"ROtation Indretning is a office interior design company that focuses on creating stories, culture, and community through workspace decoration.",privately held,""
Culturescape,culturescape.no,Accessible Architecture and Design,Norway,1-10,https://www.linkedin.com/company/culturescape-norge,"Culturescape is a experience design company that specializes in creating innovative and engaging visitor experiences through architecture, design, multimedia, concept, art, and culture collaborations.",privately held,""
Prowinstone,prowinstone.com.tr,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/prowinstone,,privately held,""
Studio Bettini Architetti Associati,studiobettini.com,Accessible Architecture and Design,"Bologna, Italy",1-10,https://www.linkedin.com/company/studio-bettini-architetti-associati,,self owned,""
Correa 3,correa3.com,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/correa-tres,"Correa 3 is a sustainable architecture and engineering firm that offers creative and functional solutions while maintaining high standards of transparency, ethics, and social responsibility.",self owned,""
Estudio de Arquitectura MARCOS J. SANCHEZ,arquitecturamarcossanchez.com,Accessible Architecture and Design,"Antequera, Spain",1-10,https://www.linkedin.com/company/estudio-de-arquitectura-marcos-j-sanchez,,self employed,""
SoCal Virtual Tours,socalvirtualtour.com,Accessible Architecture and Design,"Los Angeles, California, United States",1-10,https://www.linkedin.com/company/socal-virtual-tours,"SoCal Virtual Tours is a virtual tours provider for the real estate industry, offering digital marketing solutions through online media services.",public company,""
Formium,formium.dk,Accessible Architecture and Design,Denmark,11-50,https://www.linkedin.com/company/formiumdk,,public company,""
Made India,madeindia.app,Accessible Architecture and Design,,11-50,https://www.linkedin.com/company/made-india,"Made India is a platform that transforms the way people experience architecture by combining expertise, technology, and entertainment to access dream homes.",privately held,""
Platero Creative Group,platerocreativegroup.com,Accessible Architecture and Design,"Alamo Heights, Texas, United States",1-10,https://www.linkedin.com/company/platero-creative-group,Platero Creative is an architecture and interior design company that provides innovative solutions to transform spaces into functional and aesthetically pleasing environments.,public company,""
Korrekt interieur,korrekt-interieur.be,Accessible Architecture and Design,"Lier, Belgium",1-10,https://www.linkedin.com/company/korrekt-interieur,,self employed,""
Sunfrac,sunfrac.com,Accessible Architecture and Design,"Istanbul, Türkiye",51-200,https://www.linkedin.com/company/sunfrac,"Sunfrac is a weather protection solution provider that offers environmentally friendly, easy to maintain, customizable designs with long-lasting and durable features.",privately held,""
Equal Access Construction,yourequalaccess.com,Accessible Architecture and Design,"Altamonte Springs, Florida, United States",1-10,https://www.linkedin.com/company/equalaccessconstruction,Ensuring Equal Access is an ADA accessibility consulting company that simplifies ADA compliance through comprehensive surveys and reports to create barrier-free facilities for inclusivity and accessibility.,public company,""
Paulina Sir,paulinasir.cl,Accessible Architecture and Design,,1-10,https://www.linkedin.com/company/dise%c3%b1o-de-luz,Paulina Sir is an architecture company specializing in lighting design for both private and public sectors.,partnership,""
Valentina Bernardi,valentinabernardi.com,Accessible Architecture and Design,"Cortina d'Ampezzo, Italy",1-10,https://www.linkedin.com/company/valentina-bernardi-srl,,privately held,""
Office for Fine Architecture,ofacorp.com,Accessible Architecture and Design,"Palos Verdes Estates, California, United States",11-50,https://www.linkedin.com/company/office-for-fine-architecture,,privately held,""
